TOTD_DATE,MAP_NAME,MAP_UID
2024-12-28,Slumbering World,_RsS6b4WBp8a2kkKteyge8Uj4P2
2024-12-16,First Flakes,6OoNI7Q8rZC7POWlqZvtlcNp1Z8
2024-11-24,Tachysensia,FdshMMqY5y8X62QBQb2jivdsxNk
2024-11-10,amuse-ouche,iFNrGHITuViUykAL20mCZzXEbKm
2024-11-02,Back'N'Forth,Tg2QRA_hn5QqgIhZ1M2TNWmXYOk
2024-09-29,Passion,1ecs2gVgBz5xanlGa4GywRvcThd
2024-09-13,Arctic Nightrush,fzk7dl4z4f25mxP1z5DIrg6WLg5
2024-08-14,Etherneal,mdEeQtvyp3MQ8h0ivETa6cOdqbh
2024-07-22,Life,7w2cpANUZYSCrfdBYgz3SDteYR0
2024-07-16,Summer's Slide,PrUx3vMMpXhC3hbZMuBIQSls2J2
2024-06-13,Terrene,yZl8Bsqf1cnPykX_3xZVKG8A32b
2024-05-24,Blim,_I_2IinwwsmHhu0fO9gijUrsGyi
2024-04-10,Damaged,acKrJOmJoc9HvZ_VFwKBf1YWJI8
2024-03-05,Gelifraccion,UCLY2foo1FjOUxqzM9n7gtaiaKc
2024-02-11,SnowDrift,9P2zcBrsJ7zGnQvR3zOPUS3zzGg
2024-01-31,Eruption,Eruption_by_TNTree_____TOTD
