TEAM_NAME,PLAYER_NAME,PLAYER_UID
34%,burntbagels,
34%,Keffin.,
34%,Ikarus.,
34%,Zeatz,
34%,Teuflum,
34%,Tigu.,
34% GearIssue,Xerutiws,
34% GearIssue,ThomBern,
34% GearIssue,Woottynator_,
34% GearIssue,SkurtTM,
34% GearIssue,Yekcosdo,
34% GearIssue,BURLYpog,
B2 Academy,Clin_TM,
B2 Academy,Niwes.,
B2 Academy,Flonko,
B2 Academy,ParZival_TM,
B2 Academy,PebTM,
B2 Academy,P3kingente,
B2 eSports,LPNSebi,
B2 eSports,PASZS,
B2 eSports,Leonowitsch,
B2 eSports,TsunamiZ,
B2 eSports,IcecrusherX,
B2 eSports,G1LL1,
Casual Finns,A.LeGod,
Casual Finns,Kanastus,
Casual Finns,Thounej,
Casual Finns,VilleTM,
Casual Finns,twist__,
Casual Finns,Henri97_,
EQNX,Kelvawesome2070,
EQNX,ZaraStocher,
EQNX,Kuda.....,
EQNX,ya___,
EQNX,MaheTM,
EQNX,solgaleo66,
Evo Challenger,kasheTM,
Evo Challenger,ABurntCroissant,
Evo Challenger,l8rn3rds,
Evo Challenger,Slidelock,
Evo Challenger,ItsEmmy,
Evo Challenger,Kehdo-,
Evo Main,Op4le.,
Evo Main,Gus_Sillypants,
Evo Main,Micka_TM.,
Evo Main,Andybaguette,
Evo Main,Lattack.TM,
Evo Main,Jolypop,
Ice Age,Sombot,
Ice Age,Flueffel.dpk,
Ice Age,Mobbi._.,
Ice Age,loraii._.,
Ice Age,lucian____,
Ice Age,Liquid.v1,
MonkaSteer,spoder-,
MonkaSteer,sumi.ice,
MonkaSteer,bead_Sillypants,
MonkaSteer,josh1248,
MonkaSteer,the.capman,
MonkaSteer,wllard,
MonkaSteeRFRF,vikingjoec,
MonkaSteeRFRF,jandro-._,
MonkaSteeRFRF,Wouto1997,
MonkaSteeRFRF,gluesniffah,
MonkaSteeRFRF,Strihke.TV,
MonkaSteeRFRF,baiwack,
Not Piwo,Habe-..-,
Not Piwo,hayiom..,
Not Piwo,mikeyyy,
Not Piwo,fredwolf-..-,
Not Piwo,crxly-_-,
OWIP!,nolan.tm,
OWIP!,krelle1231,
OWIP!,kopaka-,
OWIP!,Shikurima,
OWIP!,Sheinex,
OWIP!,AkulTM,
PIWO! 0%,Hergam4,
PIWO! 0%,Nothing3r,
PIWO! 0%,SKORPID_TM,
PIWO! 0%,The_Curiosity,
PIWO! 0%,Forty.2,
PIWO! 0%,kieranrjc,
PIWO! Main,Nalax_tm,
PIWO! Main,OwlEye,
PIWO! Main,quoT.,
PIWO! Main,MAVERICK-V8,
PIWO! Main,d794.tm,
PIWO! Main,Offkes,
SHIFT,Elensar_,
SHIFT,Narbex,
SHIFT,DarkLight..,
SHIFT,S1mon8001,
SHIFT,k4lle1,
SHIFT,n4stii.TM,
Slipt,mr.cuteboy,
Slipt,axperial,
Slipt,frst_TM,
Slipt,Geps.,
Slipt,Mericle_,
Slipt,Skotos.,
Split,NitroFeint,
Split,silk.TM,
Split,XanTM,
Split,vitorlol22,
Split,Ssnake01,
Split,kcj.tm,
TeamNL Blauw,B0nj0eri,
TeamNL Blauw,Bobby4Friends,
TeamNL Blauw,uncle_hap,
TeamNL Blauw,lucasjande,
TeamNL Blauw,markdeotter,
TeamNL Blauw,Chubby_Chimp,
TeamNL Oranje,ChiliConArne.,
TeamNL Oranje,henkisme,
TeamNL Oranje,Mitra-17,
TeamNL Oranje,Poepboer,
TeamNL Oranje,Alex-waaa,
TeamNL Oranje,Marijntje04,
TeamNL Rood,Treggeur,
TeamNL Rood,Jadey-,
TeamNL Rood,Pug_TM,
TeamNL Rood,DaniiiTM.,
TeamNL Rood,BartMonke,
TeamNL Wit,RedTiger1510,
TeamNL Wit,Owls._.,
TeamNL Wit,CannonTM,
TeamNL Wit,Penguin.TM,
TeamNL Wit,ThijnHD,
TeamNL Wit,FootFungusTM,
TeamNL Zwart,Zeemuis,
TeamNL Zwart,astronauttm,
TeamNL Zwart,Denniss..,
TeamNL Zwart,Swordie.,
TeamNL Zwart,Tommie._,
TeamNL Zwart,DazzleAlec,
The Icy Misfits,Bran.Tm,
The Icy Misfits,Hypoflex,
The Icy Misfits,Lemmi.,
The Icy Misfits,Sc1ro,
The Icy Misfits,skidly,
The Icy Misfits,Aleckete,
The Underqualified,m.alice-,
The Underqualified,Jastastic000,
The Underqualified,Yoonte,
The Underqualified,WonarioStrike,
The Underqualified,KindredTM,
The Underqualified,Spec.TM,
UMF PILI,Qfm.,
UMF PILI,Kola-.-,
UMF PILI,Redie27z,
UMF PILI,TechSupp0rt_,
UMF PILI,Hege_tm,
UMF PILI,arppa.,
UMF PILU,klovni.,
UMF PILU,vaio27z,
UMF PILU,veki.,
UMF PILU,boojume,
UMF PILU,FanesTM,
UMF PILU,MiQuatro,
waaa,JanTM-,
waaa,TarporTM,
waaa,TIMMYS..,
waaa,Paardenvechter,
waaa,HikoTM,
waaa,SnappieTM,
ZACK! Slideout,Space_Lauch,
ZACK! Slideout,Dark_Kirby_TM,
ZACK! Slideout,g4unightstreick,
ZACK! Slideout,Helldiver_Agent
